"species_latin","ev_nytt_navn","latinsknavnid","stadium","indetermined","alien","blacklist_cat","native","last_updated"
"Mesaphorura sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
"Mesaphorura tenuisensillata Rusek, 1974","",15325,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Mesaphorura yosii (Rusek, 1971)","",15315,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Metabletus truncatellus","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Metopsia clypeata","",12607,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Micranurida pygmaea Börner, 1901","",15167,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Micranurophorus musci Bernard, 1977","",15364,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Micraphorura absoloni (Börner, 1901)","",15213,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Micropeplus porcatus","",12218,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Monotoma brevicollis","",7934,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Morychus aeneus","",10047,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Murcrosomia garretti (Bagnall, 1939)","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Mycetoporus baudueri","",13138,"adult",f,f,"",f,"2018-10-05 09:38:12.388532"
"Myrmica rubra (hageeitermaur)","",119133,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Myrmica ruginodis (skogeitermaur)","",119135,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Neanura muscorum (Templeton, 1835)","",15199,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Nematoda spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Neuraphes sp.","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Neuroptera spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Nysius ericae","",110295,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Olibrus aeneus","",8112,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Oligochaeta spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Oligota pusillima","",11984,"adult",f,t,"",f,"2018-11-05 14:58:30.778214"
"Omalium rivulare","",12332,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Oniscidea spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Onychiurus folsomi (Schäffer, 1900)","",15284,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Onychiurus normalis Gisin, 1949","",15283,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Onychiurus sp. ""volinensis""","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Opiliiones spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Orchesella cincta (Linnaeus, 1758)","",15623,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Orchesella sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
"Orius sp.","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Ostearius melanopygius","",2881,"adult",f,t,"PH",f,"2018-06-26 10:18:18.509006"
"Othius laeviusculus","",12744,"adult",f,f,"",f,"2018-10-05 09:42:07.474524"
"Otiorhynchus ovatus","",8869,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Otiorhynchus sulcatus","",8880,"adult",f,f,"",f,"2018-10-05 09:43:08.668245"
"Oxidus gracilus (""drivhustusenbein"")","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Oxypoda exoleta","",12116,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Oxypoda sp.1","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Oxypoda sp.2","",,"adult",t,t,"",f,"2018-06-26 10:18:18.509006"
"Oxypoda sp.3","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Oxypoda sp.4","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Oxypoda sp.5","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Oxypoda spp.","",,"adult",f,f,"",f,"2018-10-05 09:43:32.69967"
"Ozyptila sp. juv.","",,"juvenile",t,f,"",t,"2018-06-26 10:18:18.509006"
"Paralister purpurascens","",13365,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Paranurophorus simplex Denis, 1929","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Parascythopus intrusus","",,"adult",f,f,"",f,"2018-10-05 09:43:51.994215"
"Parasitica spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Paratullbergia callipygos (Börner, 1902)","",15306,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Paratullbergia macdougalli  Bagnall, 1936","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Parisotoma notabilis (Schäffer, 1896)","",15517,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Pelecopsis mengei","",2888,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Peponocranium ludicrum","",2892,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Perapion marchicum","",8233,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Pheidole pallidula","",156978,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Philonthus cognatus","",12837,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Plagiolepsis pygmaea","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Plagiolepsis vindobonensis","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Platystethus capito","",12415,"adult",f,f,"",f,"2018-10-05 09:47:20.877965"
"Platystethus degener","",169737,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Pleurophorus caesus","",10669,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
