"id","latinsknavnid","projectid","phylum","class","subclass","order","underorder","family","old_description","genus","species","species_latin","stadium","indetermined","alien","blacklist_cat","native","last_updated_by","last_updated","autorstring"
"1cc8c1d6-eb39-11e8-925e-001cc4ddf696",,"1cc8c2a8-eb39-11e8-925e-001cc4ddf696","","","","Heteroptera","","","","Heteroptera","spp.","Heteroptera spp. juv","adult",f,f,"",f,"jens.astrom","2018-11-18 14:51:56.338025",""
"2903e398-c872-11e8-b791-001cc4ddf696",12744,"2903e47e-c872-11e8-b791-001cc4ddf696","","","","","","","","Othius","laeviusculus","Othius laeviusculus","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"e3d17424-c872-11e8-b791-001cc4ddf696",12415,"e3d1750a-c872-11e8-b791-001cc4ddf696","","","","","","","","Platystethus","capito","Platystethus capito","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"f76f2d1e-c872-11e8-b791-001cc4ddf696",12616,"f76f2e04-c872-11e8-b791-001cc4ddf696","","","","","","","","Proteinus","ovalis","Proteinus ovalis","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"0d695374-c873-11e8-b791-001cc4ddf696",12946,"0d695464-c873-11e8-b791-001cc4ddf696","","","","","","","","Quedius","semiaeneus","Quedius semiaeneus","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"d628c1d8-2390-11e8-b8e2-001cc4ddf696",169216,"d628c278-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Insecta","","Hymenoptera","","Formicidae (maur)","orden Hymenoptera (veps)","Plagiolepis","vindobonensis","Plagiolepis vindobonensis","adult",f,t,"NR",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"d6284bf4-2390-11e8-b8e2-001cc4ddf696",169752,"d6284c94-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Insecta","","Coleoptera","","Scraptiidae (blomsterbiller)","orden Coleoptera (biller)","Trotomma","pubescens","Trotomma pubescens","adult",f,t,"NR",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"4796a4ac-c873-11e8-b791-001cc4ddf696",170413,"4796a592-c873-11e8-b791-001cc4ddf696","","","","","","","","Tychus","pullus","Tychus pullus","adult",f,t,"NR",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"d628f4d2-2390-11e8-b8e2-001cc4ddf696",48364,"d628f572-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Diplopada","","Diplopoda","","Polydesmida","klasse Diplopoda (tusenbein)","Oxidus","gracilis","Oxidus gracilis","adult",f,t,"NR",f,"jens.astrom","2018-11-24 10:54:32.390848","(""drivhustusenbein"")"
"d626af56-2390-11e8-b8e2-001cc4ddf696",15719,"d626aff6-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Entognata","","Collembola","","Katiannidae","orden Collembola (spretthaler)","Sminthurinus","trinotatus","Sminthurinus trinotatus","adult",f,t,"LO",f,"jens.astrom","2018-11-24 10:54:32.390848","Axelson, 1905"
