"species_latin","latinsknavnid","order","alien","blacklist_cat"
"Sminthurinus niger",15717,"Collembola",t,"LO"
"Sminthurinus sp. juv.",,"Collembola",f,""
"Sminthurinus trinotatus",15719,"Collembola",t,"LO"
"Solenopsis fugax",169218,"Hymenoptera",t,"LO"
"Sphaeridia pumilis",15670,"Collembola",f,""
"Steatoda bipunctata",125267,"",f,""
"Stenaphorura lubbocki",15294,"Collembola",f,""
"Stenichnus sp.",,"Coleoptera",f,""
"Stenus argus",13045,"Coleoptera",f,""
"Stenus impressus",13010,"Coleoptera",f,""
"Stenus juno",13074,"Coleoptera",f,""
"Stephostethus lardarius",7922,"Coleoptera",f,""
"Strumigenys membranifera",169217,"Hymenoptera",t,"NR"
"Supraphorura furcifer",15229,"",f,""
"Symphyta spp. juv.",,"Hymenoptera",f,""
"Tachyporus cf. pusillus",,"Coleoptera",f,""
"Tachyporus chrysomelinus",13213,"",f,""
"Tachyporus dispar",13215,"Coleoptera",f,""
"Tachyporus nitidulus",13219,"Coleoptera",f,""
"Tachyporus obtusus",13221,"Coleoptera",f,""
"Tachyura parvula",5828,"Coleoptera",t,""
"Tapinoma magnum",144842,"Hymenoptera",t,"NR"
"Telmatophilus typhae",7729,"",f,""
"Temnothorax nylanderi",128815,"Hymenoptera",f,""
"Temnothorax sp.",,"Hymenoptera",f,""
"Tetramorium caespitum",119161,"Hymenoptera",f,""
"Tetramorium semilaeve",152653,"Hymenoptera",t,"NR"
"Thalassaphorura encarpata",15246,"Collembola",t,"LO"
"Thecturota marchii",11954,"Coleoptera",t,"LO"
"Thyreosthenius parasiticus",2962,"",f,""
"Thysanoptera spp.",,"Thysanoptera",f,""
"Thysanoptera spp. juv.",,"Thysanoptera",f,""
"Tinotus morion",11520,"",f,""
"Tomocerus minor",15645,"Collembola",f,""
"Tomocerus sp. juv.",,"Collembola",f,""
"Tomocerus vulgaris",15647,"Collembola",f,""
"Toramus cf. pulchellus",,"Coleoptera",t,"NR"
"Trichiusa immigrata",11841,"",f,""
"Trotomma pubescens",169752,"Coleoptera",t,"NR"
"Tychius picirostris",8798,"Coleoptera",f,""
"Tychus pullus",170413,"",t,"NR"
"Vertagopus arboreus",15495,"Collembola",f,""
"Vertagopus sp.",,"Collembola",f,""
"Willemia anophthalma",15122,"Collembola",f,""
"Willemia denisi",15126,"Collembola",f,""
"Willemia intermedia",15123,"Collembola",f,""
"Willemia sp. juv.",,"",f,""
"Willowsia nigromaculata",15619,"Collembola",f,""
"Xantholinus longiventris",13000,"Coleoptera",f,""
"Xantholinus sp. A",,"Coleoptera",f,""
"Xantholinus sp. B",,"Coleoptera",f,""
"Xantholinus sp. (hunner)",,"",f,""
"Xenylla grisea",15119,"Collembola",f,""
"Xenylla malayana",,"",t,""
"Xenylla maritima",15115,"Collembola",f,""
"Xenylla mediterranea",15117,"Collembola",f,""
"Xenylla sp. juv.",,"Collembola",f,""
"Xenylla welchi",,"Collembola",t,""
"Xysticus sp.",,"",f,""
