species_latin,species_norsk,autorstreng,native,alien
Rumex acetosella ssp. acetosella,bakkesyre,NA,TRUE,FALSE
Rumex obtusifolius,byhøymol,NA,TRUE,FALSE
Sagina procumbens,tunsmåarve,NA,TRUE,FALSE
Salix,Vierslekta,NA,TRUE,FALSE
Salix alba,Hvitpil,NA,TRUE,FALSE
Salix alba x fragilis,NA,NA,TRUE,FALSE
Salix caprea,NA,NA,TRUE,FALSE
Salix caprea 'kilmarnock',Selje,NA,TRUE,FALSE
Salix caprea ssp. caprea,skogselje,NA,TRUE,FALSE
Salix helvetica,Sveitservier,NA,TRUE,FALSE
Salix myrsinifolia,NA,NA,TRUE,FALSE
Salix myrsinifolia ssp. myrsinifolia,Spøkelsestre,NA,TRUE,FALSE
Salix nigricans,NA,NA,TRUE,FALSE
Salvia nemorosa,NA,NA,TRUE,FALSE
Salvia officinalis,Salvie,NA,TRUE,FALSE
Sanvitalia procumbens,krypsolknapp,NA,FALSE,TRUE
Sedum annuum,NA,NA,TRUE,FALSE
Senecio viscosus,klistersvineblom,NA,FALSE,TRUE
Senecio vulgaris,åkersvineblom,NA,TRUE,FALSE
Setaria,NA,NA,TRUE,FALSE
Setaria sp. (hårete),NA,NA,TRUE,FALSE
Setaria verticillata,vrang busthirse,NA,FALSE,TRUE
Setaria viridis,korsmaure,NA,TRUE,FALSE
Solanum nigrum ssp. nigrum,svartsøtvier,NA,TRUE,FALSE
Solanum nigrum ssp. schultzii,vortemelkslekta,NA,TRUE,FALSE
Solanum sarrachoides,NA,NA,TRUE,FALSE
Solanum tuberosum 'Amandine',FinnesINorge,NA,FALSE,TRUE
Sonchus asper,stivdylle,NA,TRUE,FALSE
Sonchus oleraceus,haredylle,NA,TRUE,FALSE
Spartina cf. anglica,Gyvel,NA,TRUE,FALSE
Spergula arvensis,linbendel,NA,TRUE,FALSE
Spergularia rubra,tunbendel,NA,FALSE,TRUE
Spiraea bumalda,Rosespirea,NA,TRUE,FALSE
Stellaria media,vassarve,NA,TRUE,FALSE
Syringa vulgaris,Syrin,NA,TRUE,FALSE
Taraxacum gr. Ruderalia,NA,NA,TRUE,FALSE
Taraxacum officinalis,NA,NA,TRUE,FALSE
Taxus baccata,Barlind,NA,TRUE,FALSE
Taxus media,NA,NA,TRUE,FALSE
Thuja,Tujaslekten,NA,TRUE,FALSE
Thuja occidentalis,NA,NA,FALSE,TRUE
Thuja plicata,Kjempetuja,NA,TRUE,FALSE
Thunbergia alata,NA,NA,TRUE,FALSE
Thymus,Timianslekten,NA,TRUE,FALSE
Trachycarpus fortunei,Vindmøllepalme,NA,TRUE,FALSE
Trifolium dubium,NA,NA,TRUE,FALSE
Trifolium pratensis,rødkløver,NA,TRUE,FALSE
Urtica cf. dioica,NA,NA,TRUE,FALSE
Urtica dioica,stornesle,NA,TRUE,FALSE
Urtica urens,Smånesle,NA,TRUE,FALSE
Urtica urens / dioica,NA,NA,TRUE,FALSE
Vaccinium corymbosum,Hageblåbær,NA,TRUE,FALSE
Vaccinium oxycoccus,Diverse,NA,TRUE,FALSE
Veronica arvensis,NA,NA,TRUE,FALSE
Veronica peregrina,vandreveronika,NA,TRUE,FALSE
Veronica peregrina ssp. peregrina,Snelle,NA,FALSE,TRUE
Veronica serpyllifolia ssp. serpyllifolia,bleikveronika,NA,TRUE,FALSE
Viburnum opulus,korsved,NA,TRUE,FALSE
Viola arvensis,åkerstemorsblom,NA,TRUE,FALSE
Vitis vinifera,Vinranke,NA,TRUE,FALSE
