species_latin,stadium,indetermined,autorstring
Micraphorura absoloni,adult,FALSE,"(Börner, 1901)"
Micropeplus porcatus,adult,FALSE,NA
Monotoma brevicollis,adult,FALSE,NA
Morychus aeneus,adult,FALSE,NA
Murcrosomia garretti,adult,FALSE,"(Bagnall, 1939)"
Mycetoporus baudueri,adult,FALSE,NA
Myrmica rubra,adult,FALSE,NA
Myrmica ruginodis,adult,FALSE,(skogeitermaur)
Neanura muscorum,adult,FALSE,"(Templeton, 1835)"
Nematoda spp.,adult,TRUE,NA
Neuraphes sp.,adult,TRUE,NA
Neuroptera spp.,adult,TRUE,NA
Nysius ericae,adult,FALSE,NA
Nysius senecionis,adult,FALSE,NA
Olibrus aeneus,adult,FALSE,NA
Oligochaeta spp.,adult,TRUE,NA
Oligota pusillima,adult,FALSE,NA
Omalium rivulare,adult,FALSE,NA
Oniscidea spp.,adult,TRUE,NA
Onychiurus cf. volinensis,adult,FALSE,NA
Onychiurus folsomi,adult,FALSE,"(Schäffer, 1900)"
Onychiurus normalis,adult,FALSE,"Gisin, 1949"
Opiliones spp.,adult,TRUE,NA
Orchesella cincta,adult,FALSE,"(Linnaeus, 1758)"
Orchesella sp. juv.,juvenile,TRUE,NA
Orius sp.,adult,TRUE,NA
Ostearius melanopygius,adult,FALSE,NA
Othius laeviusculus,adult,FALSE,NA
Otiorhynchus ovatus,adult,FALSE,NA
Otiorhynchus sulcatus,adult,FALSE,NA
Oxidus gracilis,adult,FALSE,"(""drivhustusenbein"")"
Oxypoda exoleta,adult,FALSE,NA
Oxypoda sp.1,adult,TRUE,NA
Oxypoda sp.2,adult,TRUE,NA
Oxypoda sp.3,adult,TRUE,NA
Oxypoda sp.4,adult,TRUE,NA
Oxypoda sp.5,adult,TRUE,NA
Oxypoda spp.,adult,TRUE,NA
Ozyptila sp. juv.,juvenile,TRUE,NA
Paralister purpurascens,adult,FALSE,NA
Paranurophorus simplex,adult,FALSE,"Denis, 1929"
Parascythopus intrusus,adult,FALSE,NA
Parasitica spp.,adult,TRUE,NA
Paratullbergia callipygos,adult,FALSE,"(Börner, 1902)"
Paratullbergia macdougalli,adult,FALSE," Bagnall, 1936"
Parisotoma notabilis,adult,FALSE,"(Schäffer, 1896)"
Pelecopsis mengei,adult,FALSE,NA
Peponocranium ludicrum,adult,FALSE,NA
Perapion marchicum,adult,FALSE,NA
Pheidole pallidula,adult,FALSE,NA
Philonthus cognatus,adult,FALSE,NA
Plagiolepis pygmaea,adult,FALSE,NA
