container,subsample,species_latin,amount
72,1,Isotomodes productus,2
72,1,Isotomurus sp. juv.,10
72,2,Ceratophysella engadinensis,12
72,2,Lepidocyrtus pallidus,2
72,3,Mesaphorura macrochaeta,2
72,3,Mesaphorura yosii,3
72,3,Folsomia candida,2
72,3,Parisotoma notabilis,1
72,3,Entomobrya sp.,2
72,3,Lepidocyrtus pallidus,20
72,4,Thalassaphorura encarpata,84
72,4,Mesaphorura yosii,96
72,4,Folsomia similis,1776
72,4,Proisotoma subminuta,64
72,4,Parisotoma notabilis,176
72,4,Lepidocyrtus pallidus,16
72,5,Ceratophysella engadinensis,4
72,5,Micranurida pygmaea,4
72,5,Thalassaphorura encarpata,108
72,5,Micraphorura absoloni,4
72,5,Mesaphorura macrochaeta,308
72,5,Parisotoma notabilis,20
72,5,Sminthurinus trinotatus,16
72,6,Ceratophysella engadinensis,512
72,6,Micranurida pygmaea,4
72,6,Neanura muscorum,8
72,6,Thalassaphorura encarpata,88
72,6,Folsomia similis,12
72,6,Parisotoma notabilis,28
72,6,Entomobrya sp.,4
72,6,Lepidocyrtus sp.,4
72,7,Hemisotoma thermophila,2336
72,8,Hemisotoma thermophila,12
72,8,Lepidocyrtus sp.,12
72,9,Thalassaphorura encarpata,12
72,9,Mesaphorura macrochaeta,40
72,9,Mesaphorura hylophila,8
72,9,Mesaphorura yosii,16
72,9,Proisotoma subminuta,4
72,9,Isotomurus sp. juv.,4
72,9,Entomobrya sp.,12
72,9,Sminthurinus trinotatus,44
72,9,Bourletiella sp. juv.,36
72,10,Thalassaphorura encarpata,128
72,10,Mesaphorura hylophila,44
72,10,Mesaphorura simoni,20
72,10,Mesaphorura yosii,280
72,10,Folsomides centralis,108
73,1,Ceratophysella engadinensis,416
73,1,Ballistura schoetti,4
73,1,Proisotoma minuta,612
73,1,Isotomurus graminis,4
73,1,Isotomurus sp. juv.,4
73,1,Lepidocyrtus sp.,4
73,2,Folsomia similis,4
73,2,Proisotoma minuta,4
73,2,Hemisotoma thermophila,2
73,3,Xenylla grisea,2
73,3,Mesaphorura yosii,2
73,3,Proisotoma minuta,4
73,3,Proisotoma subminuta,4
73,3,Hemisotoma thermophila,4
73,3,Sminthurinus sp. juv.,2
73,4,Hypogastrura assimilis,120
73,4,Ceratophysella engadinensis,364
73,4,Mesaphorura yosii,4
73,4,Ballistura schoetti,40
73,4,Proisotoma minuta,292
73,4,Proisotoma subminuta,20
73,4,Vertagopus arboreus,8
73,4,Isotomurus sp. juv.,12
73,5,Hypogastrura assimilis,2000
73,5,Ceratophysella engadinensis,688
73,5,Mesaphorura macrochaeta,16
73,5,Ballistura schoetti,64
73,5,Proisotoma minuta,1168
73,5,Proisotoma subminuta,48
73,6,Ceratophysella engadinensis,29
73,6,Mesaphorura macrochaeta,12
73,6,Proisotoma minuta,12
73,6,Parisotoma notabilis,92
73,6,Isotomurus sp. juv.,6
73,6,Lepidocyrtus pallidus,4
73,7,Hypogastrura assimilis,4
73,7,Ceratophysella engadinensis,72
73,7,Brachystomella parvula,8
73,7,Mesaphorura macrochaeta,12
73,7,Proisotoma minuta,4
73,7,Proisotoma subminuta,4
