id,species_latin,species_norsk,autorstreng,native,alien
954977ca-2200-11e8-8b3b-001cc4ddf696,Oxalis dillenii,skjermgjøkesyre,NA,FALSE,TRUE
9549798c-2200-11e8-8b3b-001cc4ddf696,Oxybasis glaucum,blåmelde,NA,TRUE,FALSE
95497b4e-2200-11e8-8b3b-001cc4ddf696,Oxybasis urbica,bymelde,NA,FALSE,TRUE
954a0b04-2200-11e8-8b3b-001cc4ddf696,Oxycoccus,Tranebærslekta,NA,FALSE,TRUE
95497d10-2200-11e8-8b3b-001cc4ddf696,Paeonia,Pion,NA,TRUE,FALSE
e294fcca-c174-11e8-b20c-001cc4ddf696,Panicum,NA,NA,TRUE,FALSE
9548bb46-2200-11e8-8b3b-001cc4ddf696,Panicum capillaceum,Dvergsypress,NA,FALSE,TRUE
9548befc-2200-11e8-8b3b-001cc4ddf696,Panicum capillare,Buskkinapalme/dvergpalme,NA,FALSE,TRUE
9548c0c8-2200-11e8-8b3b-001cc4ddf696,Panicum repens,Dvergpalme,NA,FALSE,TRUE
76e3d9be-bc07-11e8-8f34-001cc4ddf696,Panicum virgatum,NA,NA,TRUE,FALSE
95497ed2-2200-11e8-8b3b-001cc4ddf696,Parietaria officinalis,Blinesle,NA,FALSE,TRUE
460f8004-bc07-11e8-8f34-001cc4ddf696,Parthenocissus tricuspidata,NA,NA,TRUE,FALSE
95498094-2200-11e8-8b3b-001cc4ddf696,Passiflora caeruela,Pasjonsblomst,NA,TRUE,FALSE
b96d7e7a-a994-11eb-9ab7-48df374274e0,Pelargonium,NA,NA,FALSE,TRUE
a6483bc4-c174-11e8-b20c-001cc4ddf696,Persicaria lapathifolia,NA,NA,TRUE,FALSE
9548cb72-2200-11e8-8b3b-001cc4ddf696,Persicaria lapathifolia ssp. lapathifolia,NA,NA,TRUE,FALSE
9548ceec-2200-11e8-8b3b-001cc4ddf696,Persicaria lapathifolia ssp. mørkegrønn V,Sitrus,NA,TRUE,FALSE
9549844a-2200-11e8-8b3b-001cc4ddf696,Persicaria lapathifolia ssp. pallida,grønt hønsegras,NA,TRUE,FALSE
95498620-2200-11e8-8b3b-001cc4ddf696,Persicaria maculosa,hønsegras,NA,TRUE,FALSE
0de082b2-024c-11eb-aa56-48df374274e0,Persicaria maculosa ssp. maculosa,NA,NA,NA,NA
0de082b4-024c-11eb-aa56-48df374274e0,Persicaria minor,NA,NA,NA,NA
95498a30-2200-11e8-8b3b-001cc4ddf696,Philadelphus coronarius,Duftskjærsmin,NA,TRUE,FALSE
fac5ab4a-bc07-11e8-8f34-001cc4ddf696,Phlo subulata,NA,NA,TRUE,FALSE
61aeb968-bc09-11e8-8f34-001cc4ddf696,Phoenix canariensis,NA,NA,TRUE,FALSE
95498c06-2200-11e8-8b3b-001cc4ddf696,Phyllostachys aureosulcata,Grønnfuret bambus,NA,TRUE,FALSE
ef5c8fe4-ff11-11ea-aa56-48df374274e0,Physalis pruinosa,NA,NA,NA,NA
ef5c8fe6-ff11-11ea-aa56-48df374274e0,Physocarpus opulifolius,NA,NA,NA,NA
95498dd2-2200-11e8-8b3b-001cc4ddf696,Picea,Gran,NA,TRUE,FALSE
